,Village_ID,Bridge Site,value,Bridge_Lon,Bridge_Lat,Center_point,Village_Lat,Village_Lon,Purpose of Travel for Summary
44,27090402,Kanyarira,60,29.705778,-2.11375,POINT (29.69478376999732 -2.109415165879093),-2.109415165879093,29.69478376999732,Livelihood
45,27080303,Kanyarira,208,29.705778,-2.11375,POINT (29.75645463371043 -2.081565658178645),-2.081565658178645,29.756454633710433,Livelihood
46,27080205,Kanyarira,1,29.705778,-2.11375,POINT (29.71613346958273 -2.104116264646759),-2.1041162646467586,29.716133469582733,Livelihood
47,27080204,Kanyarira,1,29.705778,-2.11375,POINT (29.74193146673004 -2.08557827830157),-2.08557827830157,29.741931466730037,Other
48,27080202,Kanyarira,19,29.705778,-2.11375,POINT (29.71575495198421 -2.107155359950116),-2.1071553599501165,29.71575495198421,Livelihood
49,27080201,Kanyarira,14,29.705778,-2.11375,POINT (29.73240489716738 -2.089491909871807),-2.089491909871807,29.732404897167385,Other
50,27080101,Kanyarira,41,29.705778,-2.11375,POINT (29.73430789937835 -2.110339298395737),-2.1103392983957368,29.734307899378347,Other
51,27050305,Kanyarira,2,29.705778,-2.11375,POINT (29.72250653668691 -2.046728391975688),-2.046728391975688,29.722506536686915,Other
52,27050206,Kanyarira,2,29.705778,-2.11375,POINT (29.71933243287514 -2.070058774053678),-2.070058774053678,29.719332432875138,Worship
53,26090215,Kanyarira,1,29.705778,-2.11375,POINT (29.74358566659724 -2.208175586288032),-2.208175586288032,29.743585666597244,Livelihood
54,26070202,Kanyarira,4,29.705778,-2.11375,POINT (29.67076428621038 -2.127986172657617),-2.1279861726576175,29.670764286210378,Livelihood
55,26070204,Kanyarira,5,29.705778,-2.11375,POINT (29.67059516152283 -2.138854041976104),-2.138854041976104,29.67059516152283,Worship
56,26070401,Kanyarira,11,29.705778,-2.11375,POINT (29.69764676633648 -2.125977877899329),-2.1259778778993286,29.69764676633648,Livelihood
57,26070402,Kanyarira,3,29.705778,-2.11375,POINT (29.68830863617363 -2.124755693481283),-2.1247556934812835,29.688308636173627,Livelihood
58,26070403,Kanyarira,1,29.705778,-2.11375,POINT (29.69349352503518 -2.137981545872802),-2.1379815458728024,29.693493525035183,Livelihood
59,26070405,Kanyarira,19,29.705778,-2.11375,POINT (29.70053856023632 -2.135896187355944),-2.1358961873559443,29.700538560236325,Livelihood
60,26030103,Kanyarira,2,29.705778,-2.11375,POINT (29.60388777267683 -2.240051911680359),-2.2400519116803594,29.60388777267683,Livelihood
61,26070406,Kanyarira,5,29.705778,-2.11375,POINT (29.6819331490161 -2.131021720223921),-2.1310217202239206,29.6819331490161,Other
62,26070602,Kanyarira,15,29.705778,-2.11375,POINT (29.6650349959611 -2.122390013925111),-2.1223900139251106,29.665034995961097,Livelihood
63,26070603,Kanyarira,17,29.705778,-2.11375,POINT (29.67793068026645 -2.112428646956449),-2.1124286469564493,29.67793068026645,Livelihood
64,26070604,Kanyarira,7,29.705778,-2.11375,POINT (29.67895179070695 -2.120628066843754),-2.1206280668437536,29.678951790706947,Livelihood
65,26070605,Kanyarira,24,29.705778,-2.11375,POINT (29.65630914614816 -2.137087235568235),-2.137087235568235,29.65630914614816,Livelihood
66,26070606,Kanyarira,7,29.705778,-2.11375,POINT (29.65031351173971 -2.12226883389524),-2.1222688338952396,29.650313511739707,Livelihood
67,26070607,Kanyarira,13,29.705778,-2.11375,POINT (29.67094594464596 -2.111140345108912),-2.111140345108912,29.670945944645958,Livelihood
68,26070601,Kanyarira,6,29.705778,-2.11375,POINT (29.65724947841877 -2.127540297603635),-2.1275402976036353,29.657249478418766,Livelihood
69,26030105,Kanyarira,1,29.705778,-2.11375,POINT (29.59544907197639 -2.23944033582998),-2.23944033582998,29.59544907197639,Livelihood
70,26070203,Kanyarira,4,29.705778,-2.11375,POINT (29.66268755243235 -2.131378709258517),-2.1313787092585175,29.662687552432345,Other
71,43110202,Kanyarira,53,29.705778,-2.11375,POINT (29.61294285075218 -1.581629527849454),-1.5816295278494543,29.61294285075218,Livelihood
72,11090307,Kanyarira,1,29.705778,-2.11375,POINT (30.0581143313779 -1.945498556674651),-1.9454985566746514,30.058114331377897,Other
73,21010412,Kanyarira,1,29.705778,-2.11375,POINT (29.74723648320576 -2.356352882396137),-2.3563528823961373,29.747236483205757,Worship
74,21020105,Kanyarira,3,29.705778,-2.11375,POINT (29.95509159045079 -2.259628193097947),-2.259628193097947,29.955091590450788,Livelihood
75,32110106,Muregeya,5,29.380443,-2.024871,POINT (29.37611716476746 -1.749135178649658),-1.7491351786496583,29.37611716476746,Livelihood
76,31130402,Muregeya,1,29.380443,-2.024871,POINT (29.33417601423327 -2.199687283469312),-2.1996872834693115,29.334176014233268,Other
77,31110203,Muregeya,2,29.380443,-2.024871,POINT (29.50144524313219 -2.221240262992437),-2.221240262992437,29.501445243132192,Livelihood
78,31100506,Muregeya,5,29.380443,-2.024871,POINT (29.49648514884798 -2.095293705152834),-2.095293705152834,29.496485148847977,Livelihood
79,31100505,Muregeya,30,29.380443,-2.024871,POINT (29.51072994654105 -2.100078575022859),-2.1000785750228594,29.510729946541055,Livelihood
80,31100102,Muregeya,6,29.380443,-2.024871,POINT (29.49767612672571 -2.105375657556652),-2.1053756575566522,29.497676126725715,Livelihood
81,31090805,Muregeya,1,29.380443,-2.024871,POINT (29.41623521062862 -2.078702484733261),-2.078702484733261,29.41623521062862,Other
82,31090603,Muregeya,161,29.380443,-2.024871,POINT (29.3746004676677 -2.03065051439862),-2.0306505143986198,29.3746004676677,Livelihood
83,31090602,Muregeya,1,29.380443,-2.024871,POINT (29.36915707241666 -2.042972931341752),-2.042972931341752,29.369157072416655,Livelihood
84,31090506,Muregeya,71,29.380443,-2.024871,POINT (29.40988401630588 -2.063080810671283),-2.0630808106712832,29.409884016305885,Livelihood
85,31090305,Muregeya,3,29.380443,-2.024871,POINT (29.40983186111355 -2.0434125352841),-2.0434125352840997,29.409831861113553,Other
86,31090302,Muregeya,12,29.380443,-2.024871,POINT (29.41645607783915 -2.043001573749344),-2.043001573749344,29.41645607783915,Other
87,31090107,Muregeya,2,29.380443,-2.024871,POINT (29.41936045431441 -2.067038456567484),-2.0670384565674835,29.41936045431441,Livelihood
88,36090403,Muregeya,1,29.380443,-2.024871,POINT (28.91985868955762 -2.494472339879899),-2.494472339879899,28.91985868955762,Livelihood
89,31010402,Muregeya,8,29.380443,-2.024871,POINT (29.41101144325611 -2.085515503571225),-2.085515503571225,29.411011443256115,Livelihood
90,31010104,Muregeya,5,29.380443,-2.024871,POINT (29.38050833173693 -2.074064198805652),-2.0740641988056523,29.38050833173693,Other
91,32010407,Muregeya,1,29.380443,-2.024871,POINT (29.30859161651326 -1.936919083863412),-1.9369190838634118,29.30859161651326,Livelihood
92,32020103,Muregeya,1,29.380443,-2.024871,POINT (29.36159507773234 -1.983928394745665),-1.9839283947456645,29.36159507773234,Other
93,32020202,Muregeya,4,29.380443,-2.024871,POINT (29.39387719058961 -1.960719527886283),-1.960719527886283,29.39387719058961,Livelihood
94,32020204,Muregeya,14,29.380443,-2.024871,POINT (29.3893531228567 -1.965606162260394),-1.9656061622603944,29.389353122856704,Livelihood
95,32100505,Muregeya,209,29.380443,-2.024871,POINT (29.37816368404143 -2.016168727329632),-2.0161687273296316,29.378163684041425,Livelihood
96,32100503,Muregeya,3,29.380443,-2.024871,POINT (29.37074804774557 -2.018661630742496),-2.018661630742496,29.37074804774557,Livelihood
97,32100406,Muregeya,21,29.380443,-2.024871,POINT (29.39065860276069 -2.009504641115853),-2.0095046411158535,29.390658602760688,Livelihood
98,32100405,Muregeya,3,29.380443,-2.024871,POINT (29.39986221144745 -2.002645971578565),-2.0026459715785654,29.399862211447445,Other
99,32100403,Muregeya,16,29.380443,-2.024871,POINT (29.38566093423977 -2.02606762047739),-2.02606762047739,29.38566093423977,Livelihood
100,32100401,Muregeya,2,29.380443,-2.024871,POINT (29.38748274924583 -2.015934477775011),-2.0159344777750112,29.387482749245827,Livelihood
101,32100307,Muregeya,1,29.380443,-2.024871,POINT (29.42426483087871 -1.986755132231152),-1.9867551322311519,29.42426483087871,Livelihood
102,32120404,Muregeya,1,29.380443,-2.024871,POINT (29.34874242430816 -1.885518426866876),-1.8855184268668759,29.34874242430816,Other
103,32100306,Muregeya,3,29.380443,-2.024871,POINT (29.42944318992395 -2.006765952399786),-2.006765952399786,29.429443189923948,Livelihood
104,32100203,Muregeya,23,29.380443,-2.024871,POINT (29.40556319197088 -2.02101537438605),-2.02101537438605,29.405563191970877,Livelihood
105,32100106,Muregeya,2,29.380443,-2.024871,POINT (29.39750733588359 -1.989059877718582),-1.9890598777185822,29.397507335883585,Livelihood
106,32100105,Muregeya,11,29.380443,-2.024871,POINT (29.38073926921777 -1.991848725708318),-1.9918487257083175,29.38073926921777,Livelihood
107,32080406,Muregeya,8,29.380443,-2.024871,POINT (29.33594702988699 -1.952967122269828),-1.952967122269828,29.33594702988699,Livelihood
108,32060604,Muregeya,3,29.380443,-2.024871,POINT (29.5494125674166 -2.064433530818954),-2.0644335308189543,29.549412567416603,Livelihood
109,32040107,Muregeya,1,29.380443,-2.024871,POINT (29.30591444753069 -1.755137688037912),-1.7551376880379117,29.30591444753069,Livelihood
110,11030309,Muregeya,3,29.380443,-2.024871,POINT (30.0197309789764 -1.951548474283884),-1.9515484742838844,30.019730978976405,Other
111,32100204,Muregeya,1,29.380443,-2.024871,POINT (29.39544487126494 -2.026075292191802),-2.026075292191802,29.39544487126494,Livelihood
112,32030107,Muregeya,1,29.380443,-2.024871,POINT (29.28502838584302 -1.820486153904025),-1.8204861539040254,29.28502838584302,Other
113,31090304,Muregeya,2,29.380443,-2.024871,POINT (29.40948243530958 -2.0373375173214),-2.0373375173214,29.409482435309585,Worship
